Category: All categories

Region,clowns woods: (2016),clown school: (2016)
North Carolina,83%,17%
Nevada,,100%
Texas,,100%
Washington,,100%
California,31%,69%
Oregon,,100%
Illinois,,100%
Oklahoma,,100%
Arizona,,100%
New York,57%,43%
Wisconsin,,100%
Colorado,,100%
Utah,,100%
Minnesota,,100%
South Carolina,,
Mississippi,,
West Virginia,,
Georgia,,
Tennessee,,
Alabama,,
Kentucky,,
Delaware,,
Arkansas,,
Ohio,,
Virginia,,
Indiana,,
Pennsylvania,,
Louisiana,,
Missouri,,
Maine,,
Alaska,,
Connecticut,,
Michigan,,
District of Columbia,,
Maryland,,
New Jersey,,
Vermont,,
Rhode Island,,
Florida,,
Iowa,,
Nebraska,,
New Mexico,,
Massachusetts,,
Kansas,,
Wyoming,,
South Dakota,,
Montana,,
Idaho,,
New Hampshire,,
North Dakota,,
Hawaii,,
