Category: All categories

Week,clowns woods: (United States),clowns school: (United States)
2016-01-03,<1,<1
2016-01-10,<1,<1
2016-01-17,0,<1
2016-01-24,0,<1
2016-01-31,<1,<1
2016-02-07,0,<1
2016-02-14,<1,<1
2016-02-21,0,<1
2016-02-28,<1,<1
2016-03-06,0,<1
2016-03-13,0,<1
2016-03-20,0,<1
2016-03-27,0,<1
2016-04-03,0,<1
2016-04-10,0,<1
2016-04-17,<1,<1
2016-04-24,<1,<1
2016-05-01,0,<1
2016-05-08,<1,<1
2016-05-15,0,<1
2016-05-22,<1,<1
2016-05-29,0,<1
2016-06-05,<1,<1
2016-06-12,0,<1
2016-06-19,<1,0
2016-06-26,<1,<1
2016-07-03,0,<1
2016-07-10,<1,<1
2016-07-17,0,<1
2016-07-24,0,<1
2016-07-31,<1,<1
2016-08-07,0,<1
2016-08-14,0,<1
2016-08-21,0,<1
2016-08-28,22,<1
2016-09-04,32,1
2016-09-11,32,2
2016-09-18,52,6
2016-09-25,68,24
2016-10-02,65,100
2016-10-09,9,9
2016-10-16,5,3
2016-10-23,5,2
2016-10-30,3,2
2016-11-06,1,1
2016-11-13,1,1
2016-11-20,1,<1
2016-11-27,1,<1
2016-12-04,1,1
2016-12-11,<1,<1
2016-12-18,1,<1
2016-12-25,1,<1
