Category: All categories

Week,ebola: (United States)
2014-01-05,<1
2014-01-12,<1
2014-01-19,<1
2014-01-26,<1
2014-02-02,<1
2014-02-09,<1
2014-02-16,<1
2014-02-23,<1
2014-03-02,<1
2014-03-09,<1
2014-03-16,<1
2014-03-23,1
2014-03-30,1
2014-04-06,1
2014-04-13,1
2014-04-20,1
2014-04-27,<1
2014-05-04,<1
2014-05-11,<1
2014-05-18,<1
2014-05-25,<1
2014-06-01,<1
2014-06-08,<1
2014-06-15,<1
2014-06-22,1
2014-06-29,1
2014-07-06,<1
2014-07-13,<1
2014-07-20,1
2014-07-27,22
2014-08-03,27
2014-08-10,8
2014-08-17,7
2014-08-24,4
2014-08-31,5
2014-09-07,4
2014-09-14,5
2014-09-21,5
2014-09-28,56
2014-10-05,62
2014-10-12,100
2014-10-19,47
2014-10-26,25
2014-11-02,12
2014-11-09,8
2014-11-16,7
2014-11-23,4
2014-11-30,4
2014-12-07,3
2014-12-14,3
2014-12-21,2
2014-12-28,2
