Number of pairs,39082.000000
Number of unique pairs,6621
Average pair frequency,5.902734
Pair entropy,8.409873

Pair,Frequency,Proportion,Entropy Term,Mutual Information
world clown,16.000000,0.000409,0.003194,1.886059
world association,10.000000,0.000256,0.002116,6.673952
world convention,3.000000,0.000077,0.000727,5.955487
clown world,5.000000,0.000128,0.001147,0.722909
clown association,14.000000,0.000358,0.002842,2.684086
clown convention,5.000000,0.000128,0.001147,2.139975
clown know,5.000000,0.000128,0.001147,-0.291443
clown creepy,26.000000,0.000665,0.004867,0.212083
clown does,4.000000,0.000102,0.000940,1.511366
clown bad,9.000000,0.000230,0.001929,1.629149
clown woman,7.000000,0.000179,0.001545,0.034100
clown large,12.000000,0.000307,0.002484,1.762680
clown along,5.000000,0.000128,0.001147,1.511366
clown without,5.000000,0.000128,0.001147,1.654467
clown dozens,3.000000,0.000077,0.000727,1.223684
clown stuff,3.000000,0.000077,0.000727,1.762680
clown everything,3.000000,0.000077,0.000727,1.069533
clown big,5.000000,0.000128,0.001147,0.923579
clown following,3.000000,0.000077,0.000727,0.489715
clown suit,15.000000,0.000384,0.003019,2.609978
clown group,4.000000,0.000102,0.000940,0.412754
clown small,4.000000,0.000102,0.000940,1.511366
clown dozen,3.000000,0.000077,0.000727,0.818219
clown people,80.000000,0.002047,0.012674,0.841402
clown hands,5.000000,0.000128,0.001147,1.386203
clown candy,4.000000,0.000102,0.000940,1.357215
clown fast,5.000000,0.000128,0.001147,1.916831
clown march,8.000000,0.000205,0.001739,1.393583
clown morning,4.000000,0.000102,0.000940,0.499765
clown day,6.000000,0.000154,0.001348,0.450494
clown five,5.000000,0.000128,0.001147,1.386203
clown chicago,5.000000,0.000128,0.001147,1.511366
clown known,5.000000,0.000128,0.001147,1.654467
clown shoes,12.000000,0.000307,0.002484,2.050363
clown joy,3.000000,0.000077,0.000727,1.916831
clown circus,4.000000,0.000102,0.000940,0.332711
clown costume,40.000000,0.001023,0.007046,2.221320
clown profile,4.000000,0.000102,0.000940,1.357215
clown clowns,6.000000,0.000154,0.001348,0.182230
clown running,8.000000,0.000205,0.001739,1.134072
clown website,4.000000,0.000102,0.000940,1.799048
clown funny,3.000000,0.000077,0.000727,0.153243
clown storm,5.000000,0.000128,0.001147,2.427657
clown posse,6.000000,0.000154,0.001348,2.609978
clown face,27.000000,0.000691,0.005028,1.629149
clown ronald,3.000000,0.000077,0.000727,0.530537
clown person,12.000000,0.000307,0.002484,0.290864
clown later,5.000000,0.000128,0.001147,0.555855
clown fact,6.000000,0.000154,0.001348,1.223684
clown wig,10.000000,0.000256,0.002116,2.022192
clown called,4.000000,0.000102,0.000940,-0.360436
clown pictures,4.000000,0.000102,0.000940,1.163059
clown media,28.000000,0.000716,0.005188,0.842316
clown part,13.000000,0.000333,0.002664,1.346286
clown course,3.000000,0.000077,0.000727,1.310695
clown theres,6.000000,0.000154,0.001348,0.324200
clown recent,16.000000,0.000409,0.003194,1.065079
