Number of words,36429
Number of unique words,2660
Average word frequency,13.695113
Entropy,6.890994

Word,Frequency,Proportion,Entropy Term
world,33,0.000906,0.006347
clown,2497,0.068544,0.183718
association,13,0.000357,0.002833
annual,4,0.000110,0.001001
convention,8,0.000220,0.001850
know,91,0.002498,0.014969
creepy,286,0.007851,0.038054
does,12,0.000329,0.002641
misunderstood,4,0.000110,0.001001
art,16,0.000439,0.003395
form,14,0.000384,0.003022
survive,4,0.000110,0.001001
bad,24,0.000659,0.004826
cultural,5,0.000137,0.001221
decline,4,0.000110,0.001001
weve,21,0.000576,0.004300
woman,92,0.002525,0.015106
stands,3,0.000082,0.000774
large,28,0.000769,0.005512
hotel,3,0.000082,0.000774
conference,9,0.000247,0.002052
room,6,0.000165,0.001435
voice,4,0.000110,0.001001
along,15,0.000412,0.003210
without,13,0.000357,0.002833
need,29,0.000796,0.005681
speaks,3,0.000082,0.000774
dozens,12,0.000329,0.002641
participants,11,0.000302,0.002447
fan,3,0.000082,0.000774
sometimes,11,0.000302,0.002447
stuff,7,0.000192,0.001644
everybody,5,0.000137,0.001221
everything,14,0.000384,0.003022
great,10,0.000275,0.002251
big,27,0.000741,0.005342
smile,16,0.000439,0.003395
act,13,0.000357,0.002833
shoulders,3,0.000082,0.000774
following,25,0.000686,0.004999
suit,15,0.000412,0.003210
group,36,0.000988,0.006838
small,12,0.000329,0.002641
dozen,18,0.000494,0.003762
people,469,0.012874,0.056036
members,8,0.000220,0.001850
generation,3,0.000082,0.000774
sitting,4,0.000110,0.001001
hands,17,0.000467,0.003579
necessary,6,0.000165,0.001435
message,36,0.000988,0.006838
notes,3,0.000082,0.000774
candy,14,0.000384,0.003022
makes,16,0.000439,0.003395
mouth,4,0.000110,0.001001
water,5,0.000137,0.001221
fast,10,0.000275,0.002251
happens,4,0.000110,0.001001
youre,20,0.000549,0.004122
march,27,0.000741,0.005342
morning,33,0.000906,0.006347
day,52,0.001427,0.009352
five,17,0.000467,0.003579
suburban,4,0.000110,0.001001
chicago,15,0.000412,0.003210
better,10,0.000275,0.002251
known,13,0.000357,0.002833
priscilla,3,0.000082,0.000774
mooseburger,8,0.000220,0.001850
clowning,38,0.001043,0.007162
shoes,21,0.000576,0.004300
balloon,9,0.000247,0.002052
bring,10,0.000275,0.002251
joy,6,0.000165,0.001435
sick,10,0.000275,0.002251
wholesome,3,0.000082,0.000774
empire,3,0.000082,0.000774
former,9,0.000247,0.002052
ringling,11,0.000302,0.002447
brothers,4,0.000110,0.001001
barnum,7,0.000192,0.001644
bailey,6,0.000165,0.001435
circus,39,0.001071,0.007322
costume,59,0.001620,0.010407
current,22,0.000604,0.004476
listed,3,0.000082,0.000774
linkedin,3,0.000082,0.000774
profile,14,0.000384,0.003022
queen,3,0.000082,0.000774
clowns,68,0.001867,0.011729
shes,11,0.000302,0.002447
running,35,0.000961,0.006675
arts,3,0.000082,0.000774
camp,3,0.000082,0.000774
website,9,0.000247,0.002052
youll,9,0.000247,0.002052
feel,27,0.000741,0.005342
funny,35,0.000961,0.006675
complicated,3,0.000082,0.000774
sex,6,0.000165,0.001435
saturday,12,0.000329,0.002641
bozo,6,0.000165,0.001435
tim,9,0.000247,0.002052
curry,3,0.000082,0.000774
storm,6,0.000165,0.001435
drain,5,0.000137,0.001221
patch,3,0.000082,0.000774
adams,6,0.000165,0.001435
insane,8,0.000220,0.001850
posse,6,0.000165,0.001435
mention,7,0.000192,0.001644
smiling,4,0.000110,0.001001
face,72,0.001976,0.012306
ronald,24,0.000659,0.004826
mcdonald,8,0.000220,0.001850
person,122,0.003349,0.019086
plan,10,0.000275,0.002251
attend,4,0.000110,0.001001
concern,23,0.000631,0.004652
particular,11,0.000302,0.002447
head,12,0.000329,0.002641
later,39,0.001071,0.007322
realize,3,0.000082,0.000774
orange,5,0.000137,0.001221
fact,24,0.000659,0.004826
wig,18,0.000494,0.003762
nature,9,0.000247,0.002052
called,78,0.002141,0.013160
posing,10,0.000275,0.002251
pictures,17,0.000467,0.003579
working,16,0.000439,0.003395
media,164,0.004502,0.024325
part,46,0.001263,0.008428
rally,7,0.000192,0.001644
course,11,0.000302,0.002447
theres,59,0.001620,0.010407
usual,5,0.000137,0.001221
trope,6,0.000165,0.001435
deal,7,0.000192,0.001644
recent,75,0.002059,0.012735
separate,12,0.000329,0.002641
attempts,3,0.000082,0.000774
publicity,6,0.000165,0.001435
donning,3,0.000082,0.000774
garb,4,0.000110,0.001001
standing,34,0.000933,0.006512
sites,3,0.000082,0.000774
year,35,0.000961,0.006675
uk,22,0.000604,0.004476
recently,37,0.001016,0.007000
island,12,0.000329,0.002641
additional,7,0.000192,0.001644
tension,5,0.000137,0.001221
