Number of pairs,37329.000000
Number of unique pairs,6667
Average pair frequency,5.599070
Pair entropy,8.481172

Pair,Frequency,Proportion,Entropy Term,Mutual Information
world clown,12.000000,0.000321,0.002585,2.117350
world association,10.000000,0.000268,0.002203,6.719953
world convention,3.000000,0.000080,0.000758,6.001488
world clowns,4.000000,0.000107,0.000980,1.451897
clown world,3.000000,0.000080,0.000758,0.731056
clown association,12.000000,0.000321,0.002585,3.048908
clown convention,5.000000,0.000134,0.001195,2.658948
clown know,3.000000,0.000080,0.000758,-0.283296
clown creepy,16.000000,0.000429,0.003324,0.245548
clown does,3.000000,0.000080,0.000758,1.742657
clown bad,5.000000,0.000134,0.001195,1.560335
clown woman,5.000000,0.000134,0.001195,0.216601
clown large,4.000000,0.000107,0.000980,1.183041
clown along,5.000000,0.000134,0.001195,2.030339
clown without,4.000000,0.000107,0.000980,1.950296
clown stuff,3.000000,0.000080,0.000758,2.281653
clown big,4.000000,0.000107,0.000980,1.219409
clown suit,13.000000,0.000348,0.002773,2.985850
clown small,3.000000,0.000080,0.000758,1.742657
clown people,29.000000,0.000777,0.005563,0.345644
clown fast,3.000000,0.000080,0.000758,1.924978
clown march,8.000000,0.000214,0.001811,1.912556
clown morning,4.000000,0.000107,0.000980,1.018738
clown day,4.000000,0.000107,0.000980,0.564002
clown five,5.000000,0.000134,0.001195,1.905176
clown chicago,5.000000,0.000134,0.001195,2.030339
clown shoes,12.000000,0.000321,0.002585,2.569335
clown clowns,32.000000,0.000857,0.006054,-0.322028
clown costume,39.000000,0.001045,0.007171,2.714975
clown profile,4.000000,0.000107,0.000980,1.876188
clown running,3.000000,0.000080,0.000758,0.672215
clown website,3.000000,0.000080,0.000758,2.030339
clown posse,6.000000,0.000161,0.001404,3.128951
clown face,22.000000,0.000589,0.004383,1.943328
clown ronald,3.000000,0.000080,0.000758,1.049510
clown person,11.000000,0.000295,0.002396,0.722825
clown later,5.000000,0.000134,0.001195,1.074827
clown fact,3.000000,0.000080,0.000758,1.049510
clown wig,10.000000,0.000268,0.002203,2.541165
clown pictures,3.000000,0.000080,0.000758,1.394350
clown media,21.000000,0.000563,0.004210,1.073607
clown part,7.000000,0.000188,0.001609,1.246220
clown theres,3.000000,0.000080,0.000758,0.150026
clown recent,13.000000,0.000348,0.002773,1.376412
clown standing,28.000000,0.000750,0.005397,2.934795
clown year,10.000000,0.000268,0.002203,1.876188
clown recently,9.000000,0.000241,0.002008,1.715258
clown island,3.000000,0.000080,0.000758,1.742657
clown york,4.000000,0.000107,0.000980,0.851684
clown news,12.000000,0.000321,0.002585,0.913377
clown reported,36.000000,0.000964,0.006697,1.351178
clown america,4.000000,0.000107,0.000980,1.257149
clown might,9.000000,0.000241,0.002008,1.799815
clown painted,6.000000,0.000161,0.001404,2.355761
clown kids,15.000000,0.000402,0.003142,0.984971
clown used,3.000000,0.000080,0.000758,1.136521
clown scary,10.000000,0.000268,0.002203,0.695338
clown call,4.000000,0.000107,0.000980,0.211180
clown john,5.000000,0.000134,0.001195,1.742657
clown wayne,3.000000,0.000080,0.000758,1.829668
clown gacy,3.000000,0.000080,0.000758,1.519513
clown man,9.000000,0.000241,0.002008,0.555491
clown house,3.000000,0.000080,0.000758,-0.226784
clown such,5.000000,0.000134,0.001195,1.000719
clown good,15.000000,0.000402,0.003142,1.924978
clown calls,3.000000,0.000080,0.000758,0.257272
clown black,6.000000,0.000161,0.001404,1.070563
clown friday,4.000000,0.000107,0.000980,0.877659
clown wearing,9.000000,0.000241,0.002008,0.644045
clown costumes,46.000000,0.001232,0.008255,2.814458
clown something,3.000000,0.000080,0.000758,0.167120
clown amid,6.000000,0.000161,0.001404,2.435804
clown place,7.000000,0.000188,0.001609,1.361289
clown having,3.000000,0.000080,0.000758,1.337192
clown lead,3.000000,0.000080,0.000758,1.662614
