Number of pairs,28825.000000
Number of unique pairs,4916
Average pair frequency,5.863507
Pair entropy,8.096612

Pair,Frequency,Proportion,Entropy Term,Mutual Information
ohio school,5.000000,0.000173,0.001502,3.583286
ohio closed,7.000000,0.000243,0.002021,6.734221
ohio reports,3.000000,0.000104,0.000954,3.044464
ohio woman,4.000000,0.000139,0.001233,4.544333
ohio chased,3.000000,0.000104,0.000954,4.899536
ohio boy,3.000000,0.000104,0.000954,4.899536
school district,26.000000,0.000902,0.006324,5.044733
school closed,3.000000,0.000104,0.000954,3.654381
school schools,5.000000,0.000173,0.001502,2.105700
school today,4.000000,0.000139,0.001233,3.248916
school reports,4.000000,0.000139,0.001233,1.099605
school man,3.000000,0.000104,0.000954,1.529916
school clowns,17.000000,0.000590,0.004385,0.397834
school reading,3.000000,0.000104,0.000954,2.909941
school officials,12.000000,0.000416,0.003241,4.073092
school threat,6.000000,0.000208,0.001765,2.792158
school students,10.000000,0.000347,0.002764,2.982512
school threats,6.000000,0.000208,0.001765,2.127182
school morning,8.000000,0.000278,0.002273,3.942064
school hours,4.000000,0.000139,0.001233,3.222941
school police,12.000000,0.000416,0.003241,1.424084
school reported,8.000000,0.000278,0.002273,2.204371
school high,5.000000,0.000173,0.001502,2.765841
school creepy,3.000000,0.000104,0.000954,0.868721
school social,6.000000,0.000208,0.001765,2.281332
school media,3.000000,0.000104,0.000954,1.480827
school chased,4.000000,0.000139,0.001233,2.954677
school bus,12.000000,0.000416,0.003241,4.727018
school stop,7.000000,0.000243,0.002021,3.368581
school lockdown,6.000000,0.000208,0.001765,4.296235
school called,4.000000,0.000139,0.001233,2.311792
school authorities,3.000000,0.000104,0.000954,2.504476
school sent,3.000000,0.000104,0.000954,2.814631
school community,4.000000,0.000139,0.001233,2.954677
school received,6.000000,0.000208,0.001765,2.628529
school lockdowns,3.000000,0.000104,0.000954,4.989383
school placed,3.000000,0.000104,0.000954,4.401596
school found,4.000000,0.000139,0.001233,2.281332
school old,3.000000,0.000104,0.000954,2.686797
school friday,5.000000,0.000173,0.001502,3.420767
school everyone,3.000000,0.000104,0.000954,2.748673
school student,9.000000,0.000312,0.002520,3.983861
school crime,3.000000,0.000104,0.000954,3.197623
school security,3.000000,0.000104,0.000954,3.302984
school system,3.000000,0.000104,0.000954,4.652910
school banned,5.000000,0.000173,0.001502,4.470589
school grounds,4.000000,0.000139,0.001233,5.094743
school districts,13.000000,0.000451,0.003475,5.500208
school superintendent,3.000000,0.000104,0.000954,4.989383
school shut,3.000000,0.000104,0.000954,4.200925
district schools,3.000000,0.000104,0.000954,3.640204
district officials,3.000000,0.000104,0.000954,4.732127
district police,9.000000,0.000312,0.002520,3.181732
district scene,3.000000,0.000104,0.000954,5.699711
district john,3.000000,0.000104,0.000954,5.508656
district attorney,5.000000,0.000173,0.001502,7.363216
district requested,3.000000,0.000104,0.000954,7.545538
closed woman,5.000000,0.000173,0.001502,5.349398
closed reported,4.000000,0.000139,0.001233,4.325687
closed friday,4.000000,0.000139,0.001233,6.012086
schools ohio,5.000000,0.000173,0.001502,4.338241
schools closed,8.000000,0.000278,0.002273,5.390166
schools woman,4.000000,0.000139,0.001233,3.066747
schools clowns,12.000000,0.000416,0.003241,0.804483
schools cincinnati,3.000000,0.000104,0.000954,5.407866
schools students,5.000000,0.000173,0.001502,3.044320
schools threats,5.000000,0.000173,0.001502,2.699816
schools area,3.000000,0.000104,0.000954,2.478579
schools lockdown,10.000000,0.000347,0.002764,5.562016
schools alabama,3.000000,0.000104,0.000954,3.690214
schools children,6.000000,0.000208,0.001765,2.359948
schools sent,4.000000,0.000139,0.001233,3.857268
schools warning,3.000000,0.000104,0.000954,3.798428
schools received,4.000000,0.000139,0.001233,2.978019
schools banning,4.000000,0.000139,0.001233,5.562016
schools costumes,3.000000,0.000104,0.000954,3.164121
schools parents,4.000000,0.000139,0.001233,3.187111
schools concern,3.000000,0.000104,0.000954,4.175722
schools teachers,3.000000,0.000104,0.000954,4.262733
schools friday,6.000000,0.000208,0.001765,4.358044
schools letters,3.000000,0.000104,0.000954,5.156551
schools lock,3.000000,0.000104,0.000954,5.051191
schools abduct,3.000000,0.000104,0.000954,5.051191
reports woman,3.000000,0.000104,0.000954,1.996114
reports man,5.000000,0.000173,0.001502,2.012746
reports dressed,14.000000,0.000486,0.003706,2.901784
reports clowns,131.000000,0.004545,0.024513,2.411822
reports students,4.000000,0.000139,0.001233,2.038225
reports threats,7.000000,0.000243,0.002021,2.253337
reports police,12.000000,0.000416,0.003241,1.396089
reports area,3.000000,0.000104,0.000954,1.695628
reports wearing,4.000000,0.000139,0.001233,2.096333
reports creepy,25.000000,0.000867,0.006115,2.960989
reports country,6.000000,0.000208,0.001765,2.857253
reports social,10.000000,0.000347,0.002764,2.764162
reports media,6.000000,0.000208,0.001765,2.145978
reports georgia,3.000000,0.000104,0.000954,3.105089
reports carolina,3.000000,0.000104,0.000954,1.560190
reports people,23.000000,0.000798,0.005692,2.334830
reports woods,3.000000,0.000104,0.000954,1.098554
reports recent,4.000000,0.000139,0.001233,2.541019
reports lure,10.000000,0.000347,0.002764,3.038599
reports south,4.000000,0.000139,0.001233,1.990972
reports called,4.000000,0.000139,0.001233,2.283796
reports seeing,3.000000,0.000104,0.000954,2.201377
reports someone,4.000000,0.000139,0.001233,1.968158
reports scary,7.000000,0.000243,0.002021,2.638999
reports children,14.000000,0.000486,0.003706,2.424295
reports sighting,3.000000,0.000104,0.000954,2.600533
reports days,3.000000,0.000104,0.000954,2.720677
reports county,4.000000,0.000139,0.001233,1.808651
reports week,3.000000,0.000104,0.000954,2.027530
reports person,6.000000,0.000208,0.001765,2.358697
reports chasing,5.000000,0.000173,0.001502,3.392771
reports local,3.000000,0.000104,0.000954,2.266760
reports arrests,3.000000,0.000104,0.000954,3.169627
reports scaring,3.000000,0.000104,0.000954,3.105089
reports sightings,34.000000,0.001180,0.007953,3.233382
reports hoaxes,5.000000,0.000173,0.001502,3.526302
reports attacks,4.000000,0.000139,0.001233,4.293558
reports states,6.000000,0.000208,0.001765,3.059279
reports residents,3.000000,0.000104,0.000954,2.116478
reports evil,3.000000,0.000104,0.000954,2.658802
reports state,3.000000,0.000104,0.000954,2.104917
reports coming,3.000000,0.000104,0.000954,2.987306
reports multiple,3.000000,0.000104,0.000954,2.987306
reports menacing,8.000000,0.000278,0.002273,4.555922
reports strange,3.000000,0.000104,0.000954,2.987306
reports threatened,3.000000,0.000104,0.000954,3.575093
reports suspicious,6.000000,0.000208,0.001765,3.120837
reports investigating,4.000000,0.000139,0.001233,3.392771
reports knocking,3.000000,0.000104,0.000954,5.184530
reports doors,3.000000,0.000104,0.000954,4.172930
reports surfaced,5.000000,0.000173,0.001502,4.373600
reports friday,3.000000,0.000104,0.000954,2.881945
reports information,3.000000,0.000104,0.000954,3.136838
reports confirmed,5.000000,0.000173,0.001502,4.037128
reports lurking,9.000000,0.000312,0.002520,4.143077
reports sept,3.000000,0.000104,0.000954,3.435331
reports mass,3.000000,0.000104,0.000954,3.626386
reports feeling,3.000000,0.000104,0.000954,3.931768
reports firing,3.000000,0.000104,0.000954,5.472213
woman attacked,10.000000,0.000347,0.002764,5.991252
woman man,9.000000,0.000312,0.002520,3.812719
woman dressed,6.000000,0.000208,0.001765,3.266672
woman clowns,21.000000,0.000729,0.005263,1.793334
woman threat,3.000000,0.000104,0.000954,3.283202
woman police,7.000000,0.000243,0.002021,2.069278
woman reported,14.000000,0.000486,0.003706,3.948178
woman area,4.000000,0.000139,0.001233,3.195496
woman called,4.000000,0.000139,0.001233,3.495982
woman seeing,4.000000,0.000139,0.001233,3.701245
woman saw,6.000000,0.000208,0.001765,3.639877
woman described,4.000000,0.000139,0.001233,5.237480
woman son,5.000000,0.000173,0.001502,4.710318
woman person,3.000000,0.000104,0.000954,2.877736
woman deputy,4.000000,0.000139,0.001233,4.357121
woman identified,3.000000,0.000104,0.000954,5.074961
woman male,5.000000,0.000173,0.001502,6.096612
attacked man,6.000000,0.000208,0.001765,4.986233
attacked dressed,9.000000,0.000312,0.002520,5.251116
attacked clowns,14.000000,0.000486,0.003706,2.966848
attacked male,4.000000,0.000139,0.001233,7.452447
man woman,4.000000,0.000139,0.001233,3.001789
man dressed,23.000000,0.000798,0.005692,4.116214
man clowns,47.000000,0.001631,0.010466,2.104766
man police,3.000000,0.000104,0.000954,0.727787
man wearing,15.000000,0.000520,0.003935,4.136082
man red,4.000000,0.000139,0.001233,3.286041
man white,5.000000,0.000173,0.001502,3.184523
man mask,15.000000,0.000520,0.003935,4.102465
man arrested,6.000000,0.000208,0.001765,3.504628
man kids,5.000000,0.000173,0.001502,2.612258
man machete,4.000000,0.000139,0.001233,4.357624
man someone,4.000000,0.000139,0.001233,2.686151
man wielding,3.000000,0.000104,0.000954,4.580768
man black,9.000000,0.000312,0.002520,4.398446
man pictures,5.000000,0.000173,0.001502,4.503807
man knife,4.000000,0.000139,0.001233,4.021152
man suit,3.000000,0.000104,0.000954,4.455605
man costume,4.000000,0.000139,0.001233,3.356992
man clothing,4.000000,0.000139,0.001233,4.580768
man shortly,3.000000,0.000104,0.000954,5.342908
man jacket,3.000000,0.000104,0.000954,4.516229
man charged,3.000000,0.000104,0.000954,3.792310
man lurking,3.000000,0.000104,0.000954,3.762457
dressed clowns,165.000000,0.005724,0.029554,3.219982
dressed wearing,4.000000,0.000139,0.001233,2.673744
dressed creepy,3.000000,0.000104,0.000954,1.418136
dressed woods,7.000000,0.000243,0.002021,2.523263
dressed lure,20.000000,0.000694,0.005046,4.309158
dressed scary,3.000000,0.000104,0.000954,2.369113
dressed children,25.000000,0.000867,0.006115,3.581524
dressed holding,3.000000,0.000104,0.000954,4.152504
dressed circus,7.000000,0.000243,0.002021,4.331972
dressed costumes,6.000000,0.000208,0.001765,3.651729
dressed possibly,3.000000,0.000104,0.000954,4.057194
dressed hiding,3.000000,0.000104,0.000954,4.663329
dressed jumping,4.000000,0.000139,0.001233,4.870969
dressed suit,3.000000,0.000104,0.000954,4.315023
dressed costume,10.000000,0.000347,0.002764,4.132701
dressed backyard,4.000000,0.000139,0.001233,5.238694
dressed standing,8.000000,0.000278,0.002273,4.367865
dressed attire,10.000000,0.000347,0.002764,5.867302
dressed front,3.000000,0.000104,0.000954,3.537318
dressed clothing,8.000000,0.000278,0.002273,5.133333
dressed lurking,3.000000,0.000104,0.000954,3.621876
dressed carrying,3.000000,0.000104,0.000954,4.315023
clowns school,25.000000,0.000867,0.006115,0.783497
clowns schools,16.000000,0.000555,0.004161,1.092165
clowns today,3.000000,0.000104,0.000954,0.784549
clowns reports,34.000000,0.001180,0.007953,1.062986
clowns woman,6.000000,0.000208,0.001765,0.540571
clowns attacked,3.000000,0.000104,0.000954,1.426403
clowns man,9.000000,0.000312,0.002520,0.451843
clowns dressed,14.000000,0.000486,0.003706,0.753094
clowns officials,3.000000,0.000104,0.000954,0.510112
