Date, Origin, T1, T2, T3
2014-07-31, News Report, 4, 1, 6
2014-10-11, News Report, 4, 8, 0
2014-10-13, News Report, 5, 8, 1
2016-07-22, News Report, 3, 0, 2
2016-08-04, News Report, 6, 1, 7
2016-08-26, Social Media, 6, 3, 9
2016-08-26, News Report, 3, 6, 9
2016-08-29, News Report, 1, 3, 6
2016-08-29, News Report, 3, 7, 4
2016-08-29, News Report, 3, 4, 8
2016-08-29, News Report, 3, 5, 2
2016-08-29, News Report, 3, 4, 1
2016-08-30, News Report, 3, 4, 1
2016-08-30, News Report, 3, 4, 9
2016-08-30, News Report, 3, 4, 1
2016-08-31, News Report, 3, 7, 1
2016-08-31, News Report, 5, 1, 6
2016-08-31, News Report, 3, 7, 8
2016-09-01, News Report, 3, 5, 7
2016-09-01, News Report, 3, 6, 1
2016-09-01, News Report, 3, 6, 9
2016-09-02, News Report, 3, 5, 7
2016-09-02, News Report, 3, 1, 5
2016-09-03, News Report, 3, 1, 4
2016-09-05, News Report, 3, 6, 7
2016-09-05, News Report, 3, 1, 5
2016-09-05, Social Media, 6, 0, 2
2016-09-05, News Report, 3, 1, 6
2016-09-05, News Report, 1, 3, 5
2016-09-06, News Report, 1, 3, 6
2016-09-07, News Report, 3, 1, 4
2016-09-07, News Report, 7, 4, 3
2016-09-07, News Report, 1, 3, 7
2016-09-07, News Report, 1, 3, 5
2016-09-08, News Report, 1, 3, 4
2016-09-08, News Report, 3, 1, 8
2016-09-13, Social Media, 5, 0, 7
2016-09-14, News Report, 5, 1, 3
2016-09-15, News Report, 5, 1, 3
2016-09-15, News Report, 5, 1, 4
2016-09-16, News Report, 6, 1, 3
2016-09-16, News Report, 5, 4, 1
2016-09-18, Social Media, 4, 0, 2
2016-09-19, News Report, 5, 4, 3
2016-09-19, News Report, 3, 1, 4
2016-09-19, News Report, 3, 1, 4
2016-09-20, News Report, 5, 1, 4
2016-09-20, News Report, 5, 7, 8
2016-09-20, News Report, 4, 1, 3
2016-09-20, News Report, 5, 4, 9
2016-09-22, News Report, 8, 5, 3
2016-09-22, News Report, 5, 4, 3
2016-09-23, News Report, 1, 6, 4
2016-09-23, News Report, 1, 5, 6
2016-09-24, News Report, 1, 3, 8
