Date,Origin,T1,T2,T3
2014-07-31, News Report, 15, 17, 14
2014-10-11, News Report, 4, 19, 14
2014-10-13, News Report, 6, 5, 4
2016-07-22, News Report, 14, 12, 10
2016-08-04, News Report, 17, 6, 5
2016-08-26, Social Media, 11, 4, 10
2016-08-26, News Report, 3, 12, 5
2016-08-29, News Report, 17, 12, 3
2016-08-29, News Report, 12, 3, 6
2016-08-29, News Report, 12, 14, 4
2016-08-29, News Report, 3, 10, 19
2016-08-29, News Report, 12, 3, 17
2016-08-30, News Report, 3, 12, 4
2016-08-30, News Report, 12, 3, 4
2016-08-30, News Report, 12, 1, 6
2016-08-31, News Report, 12, 6, 5
2016-08-31, News Report, 6, 5, 16
2016-08-31, News Report, 12, 3, 6
2016-09-01, News Report, 12, 6, 5
2016-09-01, News Report, 3, 12, 19
2016-09-01, News Report, 3, 6, 4
2016-09-02, News Report, 6, 3, 19
2016-09-02, News Report, 3, 5, 12
2016-09-03, News Report, 12, 3, 5
2016-09-05, News Report, 3, 6, 19
2016-09-05, News Report, 6, 12, 5
2016-09-05, Social Media, 11, 19, 0
2016-09-05, News Report, 3, 5, 1
2016-09-05, News Report, 5, 12, 6
2016-09-06, News Report, 5, 17, 12
2016-09-07, News Report, 12, 5, 14
2016-09-07, News Report, 4, 17, 6
2016-09-07, News Report, 5, 12, 17
2016-09-07, News Report, 5, 17, 3
2016-09-08, News Report, 5, 12, 14
2016-09-08, News Report, 12, 6, 18
2016-09-13, Social Media, 10, 0, 7
2016-09-14, News Report, 6, 5, 1
2016-09-15, News Report, 16, 5, 12
2016-09-15, News Report, 5, 14, 10
2016-09-16, News Report, 17, 14, 12
2016-09-16, News Report, 4, 5, 1
2016-09-18, Social Media, 14, 0, 17
2016-09-19, News Report, 10, 14, 16
2016-09-19, News Report, 3, 14, 17
2016-09-19, News Report, 3, 14, 17
2016-09-20, News Report, 16, 5, 1
2016-09-20, News Report, 6, 4, 18
2016-09-20, News Report, 12, 17, 14
2016-09-20, News Report, 16, 4, 10
2016-09-22, News Report, 4, 6, 3
2016-09-22, News Report, 14, 6, 5
2016-09-23, News Report, 17, 1, 6
2016-09-23, News Report, 5, 1, 17
2016-09-24, News Report, 5, 14, 12
2016-09-24, News Report, 5, 6, 10
2016-09-26, News Report, 6, 16, 19
2016-09-27, News Report, 6, 4, 12
2016-09-28, News Report, 4, 5, 8
2016-09-28, News Report, 5, 6, 10
2016-09-28, News Report, 6, 5, 4
2016-09-28, News Report, 14, 17, 4
2016-09-28, News Report, 5, 16, 4
2016-09-29, News Report, 6, 4, 5
2016-09-29, News Report, 6, 5, 10
2016-09-29, News Report, 4, 5, 6
2016-09-29, News Report, 17, 4, 5
2016-09-29, News Report, 4, 15, 17
2016-09-29, News Report, 16, 3, 19
2016-09-30, News Report, 16, 5, 6
2016-09-30, News Report, 16, 14, 6
2016-09-30, News Report, 16, 6, 17
2016-09-30, News Report, 16, 5, 6
2016-09-30, News Report, 5, 4, 12
2016-09-30, News Report, 6, 18, 17
