Number of pairs,27786.000000
Number of unique pairs,4924
Average pair frequency,5.642973
Pair entropy,8.144008

Pair,Frequency,Proportion,Entropy Term,Mutual Information
ohio school,5.000000,0.000180,0.001552,3.619954
ohio closed,7.000000,0.000252,0.002088,6.770889
ohio reports,3.000000,0.000108,0.000986,3.081133
ohio woman,4.000000,0.000144,0.001273,4.581001
ohio chased,3.000000,0.000108,0.000986,4.936205
ohio boy,3.000000,0.000108,0.000986,4.936205
school district,26.000000,0.000936,0.006526,5.081401
school closed,3.000000,0.000108,0.000986,3.691050
school schools,5.000000,0.000180,0.001552,2.142368
school today,4.000000,0.000144,0.001273,3.285585
school reports,4.000000,0.000144,0.001273,1.136274
school man,3.000000,0.000108,0.000986,1.566585
school clown,12.000000,0.000432,0.003346,0.573449
school reading,3.000000,0.000108,0.000986,2.946609
school officials,12.000000,0.000432,0.003346,4.109760
school threat,6.000000,0.000216,0.001823,2.828826
school students,10.000000,0.000360,0.002854,3.019180
school threats,6.000000,0.000216,0.001823,2.163850
school morning,8.000000,0.000288,0.002347,3.978732
school hours,4.000000,0.000144,0.001273,3.259609
school police,12.000000,0.000432,0.003346,1.460753
school reported,8.000000,0.000288,0.002347,2.241040
school high,5.000000,0.000180,0.001552,2.802509
school creepy,3.000000,0.000108,0.000986,0.905389
school social,6.000000,0.000216,0.001823,2.318001
school media,3.000000,0.000108,0.000986,1.517495
school chased,4.000000,0.000144,0.001273,2.991345
school bus,12.000000,0.000432,0.003346,4.763687
school stop,7.000000,0.000252,0.002088,3.405249
school clowns,5.000000,0.000180,0.001552,0.156979
school lockdown,6.000000,0.000216,0.001823,4.332904
school called,4.000000,0.000144,0.001273,2.348460
school authorities,3.000000,0.000108,0.000986,2.541144
school sent,3.000000,0.000108,0.000986,2.851299
school community,4.000000,0.000144,0.001273,2.991345
school received,6.000000,0.000216,0.001823,2.665197
school lockdowns,3.000000,0.000108,0.000986,5.026051
school placed,3.000000,0.000108,0.000986,4.438264
school found,4.000000,0.000144,0.001273,2.318001
school old,3.000000,0.000108,0.000986,2.723466
school friday,5.000000,0.000180,0.001552,3.457435
school everyone,3.000000,0.000108,0.000986,2.785341
school student,9.000000,0.000324,0.002603,4.020529
school crime,3.000000,0.000108,0.000986,3.234292
school security,3.000000,0.000108,0.000986,3.339652
school system,3.000000,0.000108,0.000986,4.689579
school banned,5.000000,0.000180,0.001552,4.507257
school grounds,4.000000,0.000144,0.001273,5.131412
school districts,13.000000,0.000468,0.003587,5.536877
school superintendent,3.000000,0.000108,0.000986,5.026051
school shut,3.000000,0.000108,0.000986,4.237594
district schools,3.000000,0.000108,0.000986,3.676872
district officials,3.000000,0.000108,0.000986,4.768796
district police,9.000000,0.000324,0.002603,3.218400
district scene,3.000000,0.000108,0.000986,5.736380
district john,3.000000,0.000108,0.000986,5.545324
district attorney,5.000000,0.000180,0.001552,7.399885
district requested,3.000000,0.000108,0.000986,7.582206
closed woman,5.000000,0.000180,0.001552,5.386066
closed reported,4.000000,0.000144,0.001273,4.362355
closed friday,4.000000,0.000144,0.001273,6.048754
schools ohio,5.000000,0.000180,0.001552,4.374909
schools closed,8.000000,0.000288,0.002347,5.426835
schools woman,4.000000,0.000144,0.001273,3.103415
schools clown,9.000000,0.000324,0.002603,1.040723
schools cincinnati,3.000000,0.000108,0.000986,5.444534
schools students,5.000000,0.000180,0.001552,3.080988
schools threats,5.000000,0.000180,0.001552,2.736484
schools area,3.000000,0.000108,0.000986,2.515247
schools clowns,3.000000,0.000108,0.000986,0.401109
schools lockdown,10.000000,0.000360,0.002854,5.598685
schools alabama,3.000000,0.000108,0.000986,3.726883
schools children,6.000000,0.000216,0.001823,2.396616
schools sent,4.000000,0.000144,0.001273,3.893937
schools warning,3.000000,0.000108,0.000986,3.835096
schools received,4.000000,0.000144,0.001273,3.014687
schools banning,4.000000,0.000144,0.001273,5.598685
schools costumes,3.000000,0.000108,0.000986,3.200790
schools parents,4.000000,0.000144,0.001273,3.223779
schools concern,3.000000,0.000108,0.000986,4.212391
schools teachers,3.000000,0.000108,0.000986,4.299402
schools friday,6.000000,0.000216,0.001823,4.394712
schools letters,3.000000,0.000108,0.000986,5.193220
schools lock,3.000000,0.000108,0.000986,5.087859
schools abduct,3.000000,0.000108,0.000986,5.087859
reports woman,3.000000,0.000108,0.000986,2.032782
reports man,5.000000,0.000180,0.001552,2.049415
reports dressed,14.000000,0.000504,0.003826,2.938452
reports clown,56.000000,0.002015,0.012509,2.085899
reports students,4.000000,0.000144,0.001273,2.074894
reports threats,7.000000,0.000252,0.002088,2.290005
reports police,12.000000,0.000432,0.003346,1.432757
reports area,3.000000,0.000108,0.000986,1.732296
reports wearing,4.000000,0.000144,0.001273,2.133001
reports creepy,25.000000,0.000900,0.006310,2.997657
reports country,6.000000,0.000216,0.001823,2.893921
reports social,10.000000,0.000360,0.002854,2.800831
reports media,6.000000,0.000216,0.001823,2.182647
reports georgia,3.000000,0.000108,0.000986,3.141757
reports clowns,75.000000,0.002699,0.015965,2.837034
reports carolina,3.000000,0.000108,0.000986,1.596858
reports people,23.000000,0.000828,0.005874,2.371498
reports woods,3.000000,0.000108,0.000986,1.135223
reports recent,4.000000,0.000144,0.001273,2.577687
reports lure,10.000000,0.000360,0.002854,3.075268
reports south,4.000000,0.000144,0.001273,2.027641
reports called,4.000000,0.000144,0.001273,2.320464
reports seeing,3.000000,0.000108,0.000986,2.238045
reports someone,4.000000,0.000144,0.001273,2.004826
reports scary,7.000000,0.000252,0.002088,2.675668
reports children,14.000000,0.000504,0.003826,2.460963
reports sighting,3.000000,0.000108,0.000986,2.637201
reports days,3.000000,0.000108,0.000986,2.757346
reports county,4.000000,0.000144,0.001273,1.845319
reports week,3.000000,0.000108,0.000986,2.064199
reports person,6.000000,0.000216,0.001823,2.395366
reports chasing,5.000000,0.000180,0.001552,3.429439
reports local,3.000000,0.000108,0.000986,2.303428
reports arrests,3.000000,0.000108,0.000986,3.206296
reports scaring,3.000000,0.000108,0.000986,3.141757
reports sightings,34.000000,0.001224,0.008206,3.270050
reports hoaxes,5.000000,0.000180,0.001552,3.562971
reports attacks,4.000000,0.000144,0.001273,4.330226
reports states,6.000000,0.000216,0.001823,3.095948
reports residents,3.000000,0.000108,0.000986,2.153146
reports evil,3.000000,0.000108,0.000986,2.695470
reports state,3.000000,0.000108,0.000986,2.141585
reports coming,3.000000,0.000108,0.000986,3.023974
